垢, , ,0.00022242,0.00200178
斡, , ,0.00022242,0.00689502
霰, , ,0.00022242,0.0146797
斐, , ,0.00022242,0.0209075
炒, , ,0.00022242,0.0284698
嘘, , ,0.00022242,0.047153
云, , ,0.00022242,0.0576068
婉, , ,0.00022242,0.0649466
於, , ,0.00022242,0.0689502
怯, , ,0.00022242,0.0842972
檻, , ,0.00022242,0.0878559
掻, , ,0.00022242,0.110543
霞, , ,0.00022242,0.123666
叶, , ,0.00022242,0.13234
叶, , ,0.00022242,0.13234
槌, , ,0.00022242,0.132562
庇, , ,0.00022242,0.13323
噛, , ,0.00022242,0.135899
粥, , ,0.00022242,0.136121
癌, , ,0.00022242,0.139013
灌, , ,0.00022242,0.139457
漑, , ,0.00022242,0.139457
禄, , ,0.00022242,0.159475
几, , ,0.00022242,0.177936
奢, , ,0.00022242,0.185721
嘴, , ,0.00022242,0.221975
煌, , ,0.00022242,0.272242
董, , ,0.00022242,0.30605
籠, , ,0.00022242,0.310053
冴, , ,0.00022242,0.324288
竿, , ,0.00022242,0.324288
捧, , ,0.00022242,0.328514
嗜, , ,0.00022242,0.358763
繍, , ,0.00022242,0.363879
雫, , ,0.00022242,0.364769
躾, , ,0.00022242,0.37411
躾, , ,0.00022242,0.37411
屎, , ,0.00022242,0.379226
凌, , ,0.00022242,0.379893
洒, , ,0.00022242,0.388568
溜, , ,0.00022242,0.434164
伜, , ,0.00022242,0.491103
聳, , ,0.00022242,0.52936
揃, , ,0.00022242,0.530694
焚, , ,0.00022242,0.548043
辿, , ,0.00022242,0.557829
辿, , ,0.00022242,0.558052
溜, , ,0.00022242,0.559609
弛, , ,0.00022242,0.560498
弛, , ,0.00022242,0.560498
蛋, , ,0.00022242,0.567616
塵, , ,0.00022242,0.591192
塵, , ,0.00022242,0.591192
杖, , ,0.00022242,0.597643
呟, , ,0.00022242,0.605205
壷, , ,0.00022242,0.605205
蕾, , ,0.00022242,0.605205
吊, , ,0.00022242,0.607207
筈, , ,0.00022242,0.621219
綴, , ,0.00022242,0.662589
嘗, , ,0.00022242,0.692393
馴, , ,0.00022242,0.693283
馴, , ,0.00022242,0.694173
賑, , ,0.00022242,0.695285
滲, , ,0.00022242,0.697287
贋, , ,0.00022242,0.697287
捩, , ,0.00022242,0.705071
黴, , ,0.00022242,0.719529
叩, , ,0.00022242,0.735988
遥, , ,0.00022242,0.744217
歪, , ,0.00022242,0.761566
掻, , ,0.00022242,0.762678
雛, , ,0.00022242,0.768016
雛, , ,0.00022242,0.768016
耽, , ,0.00022242,0.786477
辟, , ,0.00022242,0.816504
呆, , ,0.00022242,0.831184
惚, , ,0.00022242,0.840525
纏, , ,0.00022242,0.864102
纏, , ,0.00022242,0.864102
痺, , ,0.00022242,0.864991
鞠, , ,0.00022242,0.865214
塵, , ,0.00022242,0.873221
捲, , ,0.00022242,0.901468
腿, , ,0.00022242,0.915481
脆, , ,0.00022242,0.916815
歪, , ,0.00022242,0.931717
詫, , ,0.00022242,0.977981
藁, , ,0.00022242,0.978426
